,WellName,SampleName,Amp,Off,EC50,AUC,rEC50,SEAmp,SEOff,SEEC50,SEauc,SErEC50,c^2,R^2,BSA
79,Sample24_79,S80,0.37875822452623265,0.056900189318808414,4.797532110590065,0.034724535372837644,0.20844050168889994,0.08408847696153143,0.0018254545851425507,1.2652955932317698,0.002550639226562423,0.17127145785255066,8.8768504807593e-06,-90.14343746358352,0.226
80,Sample25_80,S81,1.6428739415616262,0.12229691174627816,0.031515201338480923,1.462264726444047,31.73071906664206,0.11269387113731379,0.10799412862016759,0.00909312364427382,0.11648223194443373,8.88373736111608,0.0055368304717491055,-69.39044244812254,0.195
81,Sample26_81,S82,0.48262220980429,0.059336815988820936,4.797532110590065,0.044246780428408704,0.20844050168889994,0.12730474811403314,0.0033712480544465825,1.4624983669572809,0.004061943257978295,0.30622700810738784,3.610218562021387e-05,-35.86720468030161,0.268
82,Sample27_82,S83,3.0140404877675935,0.03616731983238706,4.797532110590065,0.27632708349387103,0.20844050168889994,0.7762356988955337,0.01613345160856655,1.4397667790268192,0.022466034574296107,0.2250868558678065,0.0009685488581943281,-52.23339780998627,0.262
83,Sample28_83,S84,1.8298306827152082,0.03673469423931888,0.07223341875698593,1.4732760972021306,13.844007624286602,0.011589272111782234,0.009509708503231176,0.0023719221346550426,0.011810096214249442,0.4588792757897484,7.995765580593775e-05,-6339.593424813961,0.24
84,Sample29_84,S85,1.8843851204711455,0.013506193429999709,0.10672165776600386,1.4140146222346635,9.370169288342423,0.0353034376031413,0.02060463707164656,0.007942995080808903,0.026766402191557365,0.7309445156017763,0.0005919560757559263,-877.065509623464,0.584
85,Sample3_85,S86,1.8412595368864972,-0.1432141545169855,0.004935449600343048,1.7929485525899573,202.61578599252502,0.0314277133379009,0.03286572014006644,0.00019801156727641413,0.032093927765831316,8.113965814638426,2.548687094978211e-05,-7608.7825837002065,0.512
86,Sample30_86,S87,1.8984738202059699,0.047401397123329504,0.3984406479172612,0.948735793045324,2.509784092630169,0.0046934276185361815,0.001754534961966624,4.440892098500626e-16,0.0023454749422299925,4.440892098500626e-16,5.945373124504164e-06,-56633.86652259777,0.093
87,Sample31_87,S88,1.9424710857676442,0.057053386594557755,0.31218867342782053,1.0717501751269356,3.203191163279678,0.02417899863314962,0.009904269894480929,0.014138077050644468,0.012139015927357402,0.1450857837138873,0.00013191717548426598,-3033.4373166763557,0.204
88,Sample32_88,S89,0.35769464155907243,0.06190675984133649,4.797532110590065,0.032793427123672225,0.20844050168889994,0.08222511356378621,0.0016150698812094372,1.2823916238883486,0.002402484246201339,0.19678590463521822,6.607514811898932e-06,-108.04755476836525,0.282
89,Sample33_89,S90,1.0754687424556315,0.05260631566130406,4.797532110590065,0.09859892134750274,0.20844050168889994,0.2611786160259357,0.004096744712971586,1.4009267438258834,0.006600766742836409,0.21660096981408408,5.299605641291477e-05,-121.80662198632287,0.191
90,Sample34_90,S91,1.821820386508071,-0.035032695891560175,0.03309096140540497,1.6143739545738054,30.21973244442101,0.07890961190801236,0.08359921210518803,0.006044248525960761,0.08641772113268945,6.022564691156209,0.0032727045768194195,-145.82201078278993,0.218
91,Sample35_91,S92,1.6726558490091725,0.05186839128121168,4.797532110590065,0.1533490058682014,0.20844050168889994,0.40096777545106727,0.008050947924156407,1.3983332932089674,0.012377028580488192,0.2167236867723497,0.00010658176188887122,-146.54444276369813,0.142
92,Sample36_92,S93,1.7468413617565104,0.010193700903319463,0.051334942122060814,1.4760757079843774,19.479908979390032,0.06245902075296318,0.06747038522771935,0.008664922077443366,0.07025046059090459,3.2479060233553545,0.0018474607598779216,-249.2856154649194,0.622
93,Sample37_93,S94,1.878636789988067,0.026974957337870406,0.3277981070992116,1.0171878541718133,3.05065825074255,0.07603295451596141,0.02487199442272829,0.04364989451065615,0.029720271346864963,0.3870570308850112,0.0007926752224161384,-461.01714940750793,0.345
94,Sample38_94,S95,1.9585417819352438,-0.09596624651021798,0.01934759978969891,1.8083203505260232,51.685997791437785,0.1070733306147513,0.12055073235703992,0.004094068082885253,0.11523741018134165,12.05384700663097,0.003689750971430889,-130.98916415700674,0.451
95,Sample39_95,S96,2.03297405828761,0.05540187114860355,0.4183626803131243,0.9945653329251454,2.3902705644096844,0.012020303711049481,0.00254327810810638,0.007612849591481173,0.003768364860205832,0.042700245329335945,1.4068805887483628e-05,-26682.282362576196,0.257
96,Sample4_96,S97,2.124213033965268,0.05082942633060379,0.36139741307688084,1.1060409356306624,2.7670369621247617,0.022768554992033074,0.007398501840788349,0.013112698710760208,0.008939244517252547,0.09815918255332709,7.030657503512114e-05,-6325.028347199241,1.295
97,Sample40_97,S98,2.0706418942869345,0.049161294129149255,0.46124485504521956,0.9693330305635531,2.1680458634101445,0.029587498650220978,0.007785925086870971,0.01761992856139965,0.011537602813048185,0.08121929913538271,0.00010969284370547244,-3345.8514529450376,0.251
98,Sample41_98,S99,2.87831151487368,-1.0561923734891938,0.00205078125,2.84176391661981,487.6190476190476,0.22747576951381135,0.22994885707987173,0.00030185802412338104,0.22821014256523853,56.27673239898175,0.0003066490913410161,-594.954154635893,0.312
99,Sample42_99,S100,3.1705901130538674,0.05957377543100821,1.808139396226904,0.6468449631798168,0.5530547047903102,0.2588712495118491,0.006017078855312877,0.23084050693428698,0.010601036412760766,0.07233864379164974,9.822650601012079e-05,-2410.2899489905767,0.558
100,Sample43_100,S101,1.8465090357830358,0.009092452812894286,0.030014477465219926,1.6505563226927193,33.31725501997416,0.0595428315144992,0.06327449827092116,0.004134439227513262,0.06625025651229538,4.882038541671981,0.0015819125953021745,-304.675008911791,0.166
101,Sample44_101,S102,1.4330876220205773,0.047716695959337564,4.797532110590065,0.13138540261528428,0.20844050168889994,0.40325951256203324,0.009483826986904075,1.5243864835606848,0.013164157773545996,0.28358155877929836,0.0002477776949361377,-46.13558526596534,0.235
102,Sample45_102,S103,1.8552973503016434,-0.020038036217260788,0.022397265206550204,1.696522485290509,44.64830820985878,0.033368925952036915,0.03211247902908782,0.0015416943944894777,0.035191109943132876,2.9977348326881716,0.00036450675827839045,-1245.6459665830002,0.169
103,Sample46_103,S104,2.911285780303899,0.06982464624056384,0.9588949267620188,0.9170821189970169,1.0428671297456793,0.17408556140493292,0.011801135637343077,0.10309868818126391,0.017094167970350516,0.11964369425698454,0.00040629434062955974,-1000.235900479594,0.151
104,Sample47_104,S105,2.321028442363513,0.05208445369077133,4.797532110590065,0.21279177329819798,0.20844050168889994,0.5261905273180824,0.008477889577285463,1.3110487250810596,0.011227077920752011,0.1750358813156248,0.00018676604412856286,-161.0480147121032,0.276
105,Sample48_105,S106,1.8007659165019299,0.030876549733025106,0.16556031894840453,1.2189184649570266,6.040094669735696,0.027578514852168834,0.013487016099988834,0.010901807762842714,0.01477588928876915,0.4040943765650758,0.00025571759432973265,-1696.7908297809563,0.392
106,Sample49_106,S107,1.8236891059247666,-0.06223858061062308,0.017548843346665677,1.6937491054392384,56.98381256506016,0.10442485264179954,0.10544078621397239,0.0036637120580854123,0.10852048589476729,10.680489691961153,0.0035189566865866093,-115.14927464854065,0.16
107,Sample5_107,S108,1.8151940252808887,0.005764661838419017,0.07223341875698593,1.4614914890716553,13.844007624286602,0.026038319477454996,0.021136165710685093,0.0055493313401090575,0.025148728366050494,1.0606451226680869,0.0003783390290519275,-1318.2944643259605,0.202
108,Sample50_108,S109,0.5797112576533885,0.05569719822874739,4.797532110590065,0.053147899554120644,0.20844050168889994,0.13227269523797672,0.002342035994040147,1.3042250726238467,0.0032364603231413453,0.18332208570981795,1.6039034067266786e-05,-116.93228894377768,0.17
